post_id,post_name,url,api_delete_http_status,api_delete_result,api_note,public_status_after_delete,final_verdict,recheck_status,recheck_verdict
364731,best-presale-crypto-in-2025-blockdag-leads-q4-with-410m-raised-and-live-testnet,https://coincu.com/best-presale-crypto-in-2025-blockdag-leads-q4-with-410m-raised-and-live-testnet/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
364504,link-drops-8-eth-holds-4k-blockdags-raise-over-410m-in-historic-presale,https://coincu.com/link-drops-8-eth-holds-4k-blockdags-raise-over-410m-in-historic-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
363612,top-crypto-to-invest-in-after-missing-hederas-ico-gains-blockchainfx-presale-could-be-the-next-crypto-to-explode,https://coincu.com/top-crypto-to-invest-in-after-missing-hederas-ico-gains-blockchainfx-presale-could-be-the-next-crypto-to-explode/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
363610,top-crypto-to-invest-in-2025-litecoin-price-battles-120-while-blockchainfx-presale-emerges-as-the-best-crypto-presale,https://coincu.com/top-crypto-to-invest-in-2025-litecoin-price-battles-120-while-blockchainfx-presale-emerges-as-the-best-crypto-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
363581,maxi-doge-momentum-builds-while-blockdags-gamified-presale-nears-410m,https://coincu.com/maxi-doge-momentum-builds-while-blockdags-gamified-presale-nears-410m/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
363126,blockdag-presale-nearly-hits-410m-batch-30-growth-now,https://coincu.com/blockdag-presale-nearly-hits-410m-batch-30-growth-now/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
363054,maxi-doge-hype-surges-but-blockdags-presale-nears-record-410m,https://coincu.com/maxi-doge-hype-surges-but-blockdags-presale-nears-record-410m/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
362873,blockdag-0-0013-presale-outshines-doge-and-ada-as-investors-eye-best-crypto-for-2025,https://coincu.com/blockdag-0-0013-presale-outshines-doge-and-ada-as-investors-eye-best-crypto-for-2025/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
362614,toncoin-3-10-ethereum-nears-5k-blockdag-presale-hits-600m,https://coincu.com/toncoin-3-10-ethereum-nears-5k-blockdag-presale-hits-600m/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
362612,eth-volume-surges-shib-breaks-resistance-blockdag-confirms-20-listings,https://coincu.com/eth-volume-surges-shib-breaks-resistance-blockdag-confirms-20-listings/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
362610,sol-rockets-30-ada-holds-0-90-blockdag-dominates-with-407m-presale,https://coincu.com/sol-rockets-30-ada-holds-0-90-blockdag-dominates-with-407m-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361987,ethereum-doge-stall-blockdag-hits-nearly-405m-in-presale,https://coincu.com/ethereum-doge-stall-blockdag-hits-nearly-405m-in-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361985,tron-0-33-ada-0-85-struggle-as-blockdag-presale-grows,https://coincu.com/tron-0-33-ada-0-85-struggle-as-blockdag-presale-grows/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361884,xrp-targets-5-xlm-eyes-0-60-as-blockdags-presale-soars-to-405,https://coincu.com/xrp-targets-5-xlm-eyes-0-60-as-blockdags-presale-soars-to-405/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361367,ondo-breaks-out-dogecoin-targets-1-and-blockdags-presale-hits-405m,https://coincu.com/ondo-breaks-out-dogecoin-targets-1-and-blockdags-presale-hits-405m/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361255,blockdag-0-0013-entry-dashboard-v4-presale-outshines-polygon-cardano,https://coincu.com/blockdag-0-0013-entry-dashboard-v4-presale-outshines-polygon-cardano/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361252,trump-coin-steady-pi-network-slows-blockdag-almost-405m-presale-leads,https://coincu.com/trump-coin-steady-pi-network-slows-blockdag-almost-405m-presale-leads/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361250,solana-cools-ondo-climbs-blockdag-dominates-with-403m-presale,https://coincu.com/solana-cools-ondo-climbs-blockdag-dominates-with-403m-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
361241,eth-stalls-sol-battles-202-but-blockdags-404m-presale-leads,https://coincu.com/eth-stalls-sol-battles-202-but-blockdags-404m-presale-leads/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
