original_post_id,live_post_id,post_name,url,slug,lookup_result,delete_http_status,delete_result,delete_note,public_status_after_delete,final_verdict
367652,,how-the-zero-knowledge-proof-zkp-whitelist-became-the-center-of-presale-buzz,https://coincu.com/how-the-zero-knowledge-proof-zkp-whitelist-became-the-center-of-presale-buzz/,how-the-zero-knowledge-proof-zkp-whitelist-became-the-center-of-presale-buzz,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
367434,,xrp-eyes-9-pi-falters-blockdag-nears-600-million-presale-target,https://coincu.com/xrp-eyes-9-pi-falters-blockdag-nears-600-million-presale-target/,xrp-eyes-9-pi-falters-blockdag-nears-600-million-presale-target,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
367489,,blockdag-vs-snorter-vs-blockchainfx-which-crypto-presale-has-the-clearer-path-to-1000-roi,https://coincu.com/blockdag-vs-snorter-vs-blockchainfx-which-crypto-presale-has-the-clearer-path-to-1000-roi/,blockdag-vs-snorter-vs-blockchainfx-which-crypto-presale-has-the-clearer-path-to-1000-roi,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366995,,next-big-crypto-winner-500-in-blockchainfx-presale-could-surpass-dogecoins-1000x-run,https://coincu.com/next-big-crypto-winner-500-in-blockchainfx-presale-could-surpass-dogecoins-1000x-run/,next-big-crypto-winner-500-in-blockchainfx-presale-could-surpass-dogecoins-1000x-run,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366993,,ignored-xrp-before-its-boom-this-best-crypto-presale-looks-like-the-second-shot-you-cant-miss,https://coincu.com/ignored-xrp-before-its-boom-this-best-crypto-presale-looks-like-the-second-shot-you-cant-miss/,ignored-xrp-before-its-boom-this-best-crypto-presale-looks-like-the-second-shot-you-cant-miss,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366991,,xlm-chart-strengthens-with-bullish-momentum-while-blockchainfx-presale-creates-scarcity-ahead-of-launch,https://coincu.com/xlm-chart-strengthens-with-bullish-momentum-while-blockchainfx-presale-creates-scarcity-ahead-of-launch/,xlm-chart-strengthens-with-bullish-momentum-while-blockchainfx-presale-creates-scarcity-ahead-of-launch,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366605,,blockdag-nears-420m-presale-and-alpine-f1-sponsorship-proving-its-2025s-best-crypto-presale,https://coincu.com/blockdag-nears-420m-presale-and-alpine-f1-sponsorship-proving-its-2025s-best-crypto-presale/,blockdag-nears-420m-presale-and-alpine-f1-sponsorship-proving-its-2025s-best-crypto-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366527,,shib-burn-soars-cronos-drops-blockdag-presale-booms,https://coincu.com/shib-burn-soars-cronos-drops-blockdag-presale-booms/,shib-burn-soars-cronos-drops-blockdag-presale-booms,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366374,,blockchainfx-vs-bitcoin-hyper-vs-little-pepe-a-deep-dive-into-q4s-hottest-crypto-presales,https://coincu.com/blockchainfx-vs-bitcoin-hyper-vs-little-pepe-a-deep-dive-into-q4s-hottest-crypto-presales/,blockchainfx-vs-bitcoin-hyper-vs-little-pepe-a-deep-dive-into-q4s-hottest-crypto-presales,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
366028,,top-1000x-cryptos-in-uptober-rally-blockchainfx-leads-presale-momentum-over-hedera-and-world-liberty-financial,https://coincu.com/top-1000x-cryptos-in-uptober-rally-blockchainfx-leads-presale-momentum-over-hedera-and-world-liberty-financial/,top-1000x-cryptos-in-uptober-rally-blockchainfx-leads-presale-momentum-over-hedera-and-world-liberty-financial,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365687,,xrp-bnb-rally-but-blockdags-411m-presale-shows-bigger-upside,https://coincu.com/xrp-bnb-rally-but-blockdags-411m-presale-shows-bigger-upside/,xrp-bnb-rally-but-blockdags-411m-presale-shows-bigger-upside,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365667,,blockdag-vs-bullzilla-real-traction-vs-hype-in-2025s-presale-showdown,https://coincu.com/blockdag-vs-bullzilla-real-traction-vs-hype-in-2025s-presale-showdown/,blockdag-vs-bullzilla-real-traction-vs-hype-in-2025s-presale-showdown,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365685,,bnb-price-prediction-2025-can-binance-coin-reach-1200-while-this-altcoin-presale-aims-for-100x-roi,https://coincu.com/bnb-price-prediction-2025-can-binance-coin-reach-1200-while-this-altcoin-presale-aims-for-100x-roi/,bnb-price-prediction-2025-can-binance-coin-reach-1200-while-this-altcoin-presale-aims-for-100x-roi,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365653,,top-crypto-to-buy-bdag-presale-climbs-while-ltc-hype-lose-ground,https://coincu.com/top-crypto-to-buy-bdag-presale-climbs-while-ltc-hype-lose-ground/,top-crypto-to-buy-bdag-presale-climbs-while-ltc-hype-lose-ground,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365615,,blockdags-nearly-415m-presale-bwt-alpine-f1-deal-outshine-xrp-ada,https://coincu.com/blockdags-nearly-415m-presale-bwt-alpine-f1-deal-outshine-xrp-ada/,blockdags-nearly-415m-presale-bwt-alpine-f1-deal-outshine-xrp-ada,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365409,,hbar-price-prediction-doge-update-blockdags-nearly-415m-presale-makes-it-a-top-crypto,https://coincu.com/hbar-price-prediction-doge-update-blockdags-nearly-415m-presale-makes-it-a-top-crypto/,hbar-price-prediction-doge-update-blockdags-nearly-415m-presale-makes-it-a-top-crypto,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365075,,who-owns-blockdag-the-real-identity-behind-blockdags-410m-presale-success,https://coincu.com/who-owns-blockdag-the-real-identity-behind-blockdags-410m-presale-success/,who-owns-blockdag-the-real-identity-behind-blockdags-410m-presale-success,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
365073,,xrp-price-analysis-at-3-litecoin-holds-114-blockdag-presale-dominates-top-crypto-coins-of-2025,https://coincu.com/xrp-price-analysis-at-3-litecoin-holds-114-blockdag-presale-dominates-top-crypto-coins-of-2025/,xrp-price-analysis-at-3-litecoin-holds-114-blockdag-presale-dominates-top-crypto-coins-of-2025,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
364775,,aster-breaks-2-mark-while-early-gainers-are-eyeing-up-blockchainfxs-presale,https://coincu.com/aster-breaks-2-mark-while-early-gainers-are-eyeing-up-blockchainfxs-presale/,aster-breaks-2-mark-while-early-gainers-are-eyeing-up-blockchainfxs-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
364721,,blockdag-presale-xrp-price-forecast-shiba-inu-rally-in-focus,https://coincu.com/blockdag-presale-xrp-price-forecast-shiba-inu-rally-in-focus/,blockdag-presale-xrp-price-forecast-shiba-inu-rally-in-focus,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
364731,,best-presale-crypto-in-2025-blockdag-leads-q4-with-410m-raised-and-live-testnet,https://coincu.com/best-presale-crypto-in-2025-blockdag-leads-q4-with-410m-raised-and-live-testnet/,best-presale-crypto-in-2025-blockdag-leads-q4-with-410m-raised-and-live-testnet,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
364504,,link-drops-8-eth-holds-4k-blockdags-raise-over-410m-in-historic-presale,https://coincu.com/link-drops-8-eth-holds-4k-blockdags-raise-over-410m-in-historic-presale/,link-drops-8-eth-holds-4k-blockdags-raise-over-410m-in-historic-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
363612,,top-crypto-to-invest-in-after-missing-hederas-ico-gains-blockchainfx-presale-could-be-the-next-crypto-to-explode,https://coincu.com/top-crypto-to-invest-in-after-missing-hederas-ico-gains-blockchainfx-presale-could-be-the-next-crypto-to-explode/,top-crypto-to-invest-in-after-missing-hederas-ico-gains-blockchainfx-presale-could-be-the-next-crypto-to-explode,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
363610,,top-crypto-to-invest-in-2025-litecoin-price-battles-120-while-blockchainfx-presale-emerges-as-the-best-crypto-presale,https://coincu.com/top-crypto-to-invest-in-2025-litecoin-price-battles-120-while-blockchainfx-presale-emerges-as-the-best-crypto-presale/,top-crypto-to-invest-in-2025-litecoin-price-battles-120-while-blockchainfx-presale-emerges-as-the-best-crypto-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
363581,,maxi-doge-momentum-builds-while-blockdags-gamified-presale-nears-410m,https://coincu.com/maxi-doge-momentum-builds-while-blockdags-gamified-presale-nears-410m/,maxi-doge-momentum-builds-while-blockdags-gamified-presale-nears-410m,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
363126,,blockdag-presale-nearly-hits-410m-batch-30-growth-now,https://coincu.com/blockdag-presale-nearly-hits-410m-batch-30-growth-now/,blockdag-presale-nearly-hits-410m-batch-30-growth-now,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
363054,,maxi-doge-hype-surges-but-blockdags-presale-nears-record-410m,https://coincu.com/maxi-doge-hype-surges-but-blockdags-presale-nears-record-410m/,maxi-doge-hype-surges-but-blockdags-presale-nears-record-410m,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
362873,,blockdag-0-0013-presale-outshines-doge-and-ada-as-investors-eye-best-crypto-for-2025,https://coincu.com/blockdag-0-0013-presale-outshines-doge-and-ada-as-investors-eye-best-crypto-for-2025/,blockdag-0-0013-presale-outshines-doge-and-ada-as-investors-eye-best-crypto-for-2025,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
362614,,toncoin-3-10-ethereum-nears-5k-blockdag-presale-hits-600m,https://coincu.com/toncoin-3-10-ethereum-nears-5k-blockdag-presale-hits-600m/,toncoin-3-10-ethereum-nears-5k-blockdag-presale-hits-600m,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
362612,,eth-volume-surges-shib-breaks-resistance-blockdag-confirms-20-listings,https://coincu.com/eth-volume-surges-shib-breaks-resistance-blockdag-confirms-20-listings/,eth-volume-surges-shib-breaks-resistance-blockdag-confirms-20-listings,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
362610,,sol-rockets-30-ada-holds-0-90-blockdag-dominates-with-407m-presale,https://coincu.com/sol-rockets-30-ada-holds-0-90-blockdag-dominates-with-407m-presale/,sol-rockets-30-ada-holds-0-90-blockdag-dominates-with-407m-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361987,,ethereum-doge-stall-blockdag-hits-nearly-405m-in-presale,https://coincu.com/ethereum-doge-stall-blockdag-hits-nearly-405m-in-presale/,ethereum-doge-stall-blockdag-hits-nearly-405m-in-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361985,,tron-0-33-ada-0-85-struggle-as-blockdag-presale-grows,https://coincu.com/tron-0-33-ada-0-85-struggle-as-blockdag-presale-grows/,tron-0-33-ada-0-85-struggle-as-blockdag-presale-grows,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361884,,xrp-targets-5-xlm-eyes-0-60-as-blockdags-presale-soars-to-405,https://coincu.com/xrp-targets-5-xlm-eyes-0-60-as-blockdags-presale-soars-to-405/,xrp-targets-5-xlm-eyes-0-60-as-blockdags-presale-soars-to-405,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361367,,ondo-breaks-out-dogecoin-targets-1-and-blockdags-presale-hits-405m,https://coincu.com/ondo-breaks-out-dogecoin-targets-1-and-blockdags-presale-hits-405m/,ondo-breaks-out-dogecoin-targets-1-and-blockdags-presale-hits-405m,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361255,,blockdag-0-0013-entry-dashboard-v4-presale-outshines-polygon-cardano,https://coincu.com/blockdag-0-0013-entry-dashboard-v4-presale-outshines-polygon-cardano/,blockdag-0-0013-entry-dashboard-v4-presale-outshines-polygon-cardano,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361252,,trump-coin-steady-pi-network-slows-blockdag-almost-405m-presale-leads,https://coincu.com/trump-coin-steady-pi-network-slows-blockdag-almost-405m-presale-leads/,trump-coin-steady-pi-network-slows-blockdag-almost-405m-presale-leads,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361250,,solana-cools-ondo-climbs-blockdag-dominates-with-403m-presale,https://coincu.com/solana-cools-ondo-climbs-blockdag-dominates-with-403m-presale/,solana-cools-ondo-climbs-blockdag-dominates-with-403m-presale,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
361241,,eth-stalls-sol-battles-202-but-blockdags-404m-presale-leads,https://coincu.com/eth-stalls-sol-battles-202-but-blockdags-404m-presale-leads/,eth-stalls-sol-battles-202-but-blockdags-404m-presale-leads,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
